Acao,Data,Close,Volume
OGXP3,2012-05-17,10.97,31412500
OGXP3,2012-05-18,11.53,34826700
OGXP3,2012-05-21,11.53,0
OGXP3,2012-05-22,11.18,27881000
OGXP3,2012-05-23,11.51,35345600
OGXP3,2012-05-24,11.11,25872200
OGXP3,2012-05-25,11.10,17278500
OGXP3,2012-05-28,11.42,10340400
OGXP3,2012-05-29,11.36,17515100
OGXP3,2012-05-30,10.41,28824700
OGXP3,2012-05-31,10.30,37895100
OGXP3,2012-06-01,9.69,28524100
OGXP3,2012-06-04,9.80,18084400
OGXP3,2012-06-05,9.19,25307600
OGXP3,2012-06-06,10.06,45905100
OGXP3,2012-06-07,10.06,0
OGXP3,2012-06-08,10.14,25978500
OGXP3,2012-06-11,9.39,29733600
OGXP3,2012-06-12,9.43,43502900
OGXP3,2012-06-13,9.69,41685400
OGXP3,2012-06-14,9.44,37817600
OGXP3,2012-06-15,9.98,27173400
OGXP3,2012-06-18,9.98,0
OGXP3,2012-06-19,10.20,26357500
OGXP3,2012-06-20,9.75,40404900
OGXP3,2012-06-21,9.20,25162700
OGXP3,2012-06-22,9.25,20987600
OGXP3,2012-06-25,8.70,26904700
OGXP3,2012-06-26,8.37,29519200
OGXP3,2012-06-27,6.25,187566000
OGXP3,2012-06-28,5.05,148267700
OGXP3,2012-06-29,5.50,104887000
OGXP3,2012-07-02,6.30,96905400
OGXP3,2012-07-03,6.10,103959700
OGXP3,2012-07-04,6.28,47590200
OGXP3,2012-07-05,6.13,54281200
OGXP3,2012-07-06,6.10,37956000
OGXP3,2012-07-09,6.10,0
OGXP3,2012-07-10,5.95,36583800
OGXP3,2012-07-11,5.91,33349000
OGXP3,2012-07-12,5.64,42051200
OGXP3,2012-07-13,5.82,35041800
OGXP3,2012-07-16,5.82,0
OGXP3,2012-07-17,5.59,36215700
OGXP3,2012-07-18,5.67,27811000
OGXP3,2012-07-19,5.70,37031500
OGXP3,2012-07-20,5.45,24119000
OGXP3,2012-07-23,5.25,32391300
OGXP3,2012-07-24,5.10,25166100
OGXP3,2012-07-25,5.03,20946900
OGXP3,2012-07-26,5.10,32225500
OGXP3,2012-07-27,5.75,52744900
OGXP3,2012-07-30,5.82,35093200
OGXP3,2012-07-31,5.65,26021700
OGXP3,2012-08-01,5.76,24151700
OGXP3,2012-08-02,5.58,19822700
OGXP3,2012-08-03,5.75,22835200
OGXP3,2012-08-06,6.15,33865500
OGXP3,2012-08-07,6.08,32164500
OGXP3,2012-08-08,6.19,27377900
OGXP3,2012-08-09,6.36,28283500
OGXP3,2012-08-10,6.20,26503600
OGXP3,2012-08-13,6.25,16846300
OGXP3,2012-08-14,6.19,23026000
OGXP3,2012-08-15,5.95,51686900
OGXP3,2012-08-16,6.23,24519800
OGXP3,2012-08-17,6.25,22310600
OGXP3,2012-08-20,6.25,0
OGXP3,2012-08-21,6.50,32472900
OGXP3,2012-08-22,6.72,25071000
OGXP3,2012-08-23,6.52,31606800
OGXP3,2012-08-24,6.40,23596900
OGXP3,2012-08-27,6.47,17677100
OGXP3,2012-08-28,6.55,20364600
OGXP3,2012-08-29,6.00,76523200
OGXP3,2012-08-30,6.01,33896800
OGXP3,2012-08-31,6.30,85607100
